1688614378398,1006.2097
1688614378426,1006.21716
1688614378463,1006.2069
1688614378498,1006.208
1688614378519,1006.20105
1688614378558,1006.20026
1688614378599,1006.1988
1688614378620,1006.2126
1688614378658,1006.2153
1688614378678,1006.21387
1688614378721,1006.2092
1688614378758,1006.214
1688614378798,1006.2156
1688614378821,1006.2219
1688614378859,1006.21387
1688614378879,1006.2058
1688614378920,1006.2117
1688614378960,1006.2173
1688614378998,1006.2239
1688614379020,1006.22516
1688614379058,1006.22205
1688614379099,1006.21765
1688614379119,1006.22534
1688614379165,1006.2241
1688614379201,1006.2274
1688614379219,1006.2253
1688614379261,1006.22363
1688614379299,1006.22217
1688614379320,1006.2222
1688614379358,1006.2212
1688614379399,1006.2212
1688614379420,1006.2179
1688614379459,1006.21484
1688614379498,1006.21735
1688614379518,1006.2222
1688614379558,1006.2322
1688614379599,1006.2328
1688614379620,1006.22644
1688614379659,1006.2273
1688614379698,1006.2267
1688614379719,1006.224
1688614379761,1006.2308
1688614379801,1006.2323
1688614379819,1006.22815
1688614379859,1006.22925
1688614379900,1006.2294
1688614379918,1006.2352
1688614379960,1006.2258
1688614379982,1006.22876
1688614380018,1006.23016
1688614380058,1006.23047
1688614380100,1006.22577
1688614380125,1006.2205
1688614380159,1006.2123
1688614380197,1006.2113
1688614380218,1006.2158
1688614380258,1006.223
1688614380298,1006.21967
1688614380318,1006.21967
1688614380375,1006.21893
1688614380398,1006.2262
1688614380419,1006.2248
1688614380460,1006.22406
1688614380498,1006.2258
1688614380517,1006.2237
1688614380560,1006.22736
1688614380598,1006.2384
1688614380618,1006.23395
1688614380660,1006.2317
1688614380698,1006.2286
1688614380718,1006.22705
1688614380760,1006.23364
1688614380799,1006.2329
1688614380818,1006.2367
1688614380858,1006.23364
1688614380898,1006.2378
1688614380917,1006.2433
1688614380958,1006.2456
1688614380999,1006.24646
1688614381017,1006.2346
1688614381058,1006.2373
1688614381098,1006.2408
1688614381118,1006.22906
1688614381158,1006.22986
1688614381201,1006.23627
1688614381217,1006.2396
1688614381258,1006.2458
1688614381298,1006.24316
1688614381318,1006.2445
1688614381360,1006.2351
1688614381397,1006.22943
1688614381418,1006.234
1688614381458,1006.2365
1688614381500,1006.23444
1688614381518,1006.2326
1688614381557,1006.2435
1688614381601,1006.2458
1688614381618,1006.23206
1688614381660,1006.22577
1688614381698,1006.224
1688614381719,1006.22064
1688614381758,1006.22375
1688614381799,1006.22076
1688614381818,1006.2271
1688614381858,1006.23627
1688614381900,1006.2299
1688614381919,1006.22266
1688614381957,1006.22876
1688614381997,1006.2263
1688614382017,1006.2334
1688614382058,1006.23035
1688614382101,1006.22815
1688614382118,1006.2252
1688614382157,1006.2227
1688614382199,1006.2207
1688614382217,1006.23004
1688614382258,1006.2259
1688614382298,1006.22205
1688614382318,1006.2289
1688614382358,1006.2302
1688614382398,1006.23285
1688614382419,1006.22864
1688614382457,1006.22424
1688614382498,1006.2282
1688614382520,1006.2344
1688614382556,1006.23676
1688614382600,1006.2352
1688614382618,1006.2307
1688614382659,1006.23145
1688614382698,1006.22797
1688614382720,1006.2165
1688614382759,1006.2155
1688614382798,1006.212
1688614382818,1006.22266
1688614382857,1006.2153
1688614382897,1006.2048
1688614382917,1006.2104
1688614382957,1006.2112
1688614382998,1006.21106
1688614383019,1006.21924
1688614383056,1006.2138
1688614383097,1006.2141
1688614383118,1006.20734
1688614383157,1006.2111
1688614383199,1006.2079
1688614383218,1006.2092
1688614383259,1006.21747
1688614383296,1006.214
1688614383318,1006.2125
1688614383357,1006.21576
1688614383397,1006.2091
1688614383417,1006.21094
1688614383457,1006.22095
1688614383497,1006.2224
1688614383518,1006.226
1688614383557,1006.2265
1688614383596,1006.21576
1688614383616,1006.21234
1688614383658,1006.21625
1688614383697,1006.21814
1688614383717,1006.21234
1688614383757,1006.2027
1688614383797,1006.21716
1688614383817,1006.217
1688614383857,1006.2105
1688614383897,1006.21295
1688614383916,1006.2126
1688614383958,1006.2059
1688614383996,1006.2114
1688614384019,1006.20734
1688614384056,1006.2135
1688614384096,1006.2111
1688614384117,1006.2217
1688614384156,1006.2229
1688614384195,1006.2252
1688614384215,1006.22144
1688614384256,1006.221
1688614384298,1006.21094
1688614384317,1006.20776
1688614384357,1006.20593
1688614384396,1006.1969
1688614384415,1006.21124
1688614384457,1006.21796
1688614384500,1006.226
1688614384518,1006.2241
1688614384556,1006.22504
1688614384597,1006.21936
1688614384619,1006.2239
1688614384657,1006.21814
1688614384696,1006.2184
1688614384716,1006.2114
1688614384757,1006.21954
1688614384796,1006.2223
1688614384815,1006.2151
1688614384855,1006.2189
1688614384897,1006.22614
1688614384917,1006.2235
1688614384957,1006.2197
1688614384996,1006.2194
1688614385020,1006.2202
1688614385055,1006.2209
1688614385099,1006.2257
1688614385119,1006.2318
1688614385156,1006.2287
1688614385197,1006.22363
1688614385220,1006.22144
1688614385259,1006.21783
1688614385298,1006.2182
1688614385320,1006.21704
1688614385357,1006.21564
1688614385398,1006.21924
1688614385418,1006.2202
1688614385456,1006.21497
1688614385496,1006.22034
1688614385522,1006.2162
1688614385554,1006.2212
1688614385595,1006.22876
1688614385624,1006.2192
1688614385656,1006.21594
1688614385696,1006.2236
1688614385716,1006.22797
1688614385756,1006.2333
1688614385797,1006.23816
1688614385818,1006.2311
1688614385859,1006.2239
1688614385894,1006.2171
1688614385914,1006.22
1688614385954,1006.22534
1688614385994,1006.2256
1688614386015,1006.2197
1688614386055,1006.21606
1688614386094,1006.2201
1688614386114,1006.22125
1688614386154,1006.22644
